ticker,company_name,close,price_change_pct,volume,exchange
FCX,Freeport-McMoRan Inc.,62.225,2.04,10439689,New York Stock Exchange
CNQ,Canadian Natural Resources Limited,45.295,-0.41,10407314,New York Stock Exchange
STM,STMicroelectronics N.V.,33.55,-0.36,10210591,New York Stock Exchange
RUN,Sunrun Inc.,12.055,4.83,10165460,Nasdaq Global Select
PTEN,Patterson-UTI Energy Inc.,9.5007,3.58,10142112,Nasdaq Global Select
CLF,Cleveland-Cliffs Inc.,9.6095,0.62,10109867,New York Stock Exchange
XLY,SPDR Select Sector Fund - Consumer Discretionary,114.59,-0.02,9937696,NYSE Arca
VNET,21Vianet Group Inc.,11.065,11.77,9903245,Nasdaq Global Select
DOG,ProShares Short Dow30,23.7101,-0.29,9886800,NYSE Arca
RF,Regions Financial Corporation,26.93,-0.19,9800282,New York Stock Exchange
SDOW,UltraPro Short Dow30,32.47,-0.34,9783153,NYSE Arca
ADT,ADT Inc.,6.635,1.3,9764433,New York Stock Exchange
GGB,Gerdau S.A.,3.645,0.69,9615391,New York Stock Exchange
IQ,iQIYI Inc.,1.425,4.01,9415592,Nasdaq Global Select
EWH,iShares MSCI Hong Kong Index Fund,23.395,0.32,9365700,NYSE Arca
SPTL,SPDR Portfolio Long Term Treasury,26.785,-0.35,9363474,NYSE Arca
ACRS,Aclaris Therapeutics Inc.,3.66,7.02,9307345,Nasdaq Global Select
SPYG,SPDR Series Trust Portfolio S&P 500 Growth,103.71,-0.08,9280183,NYSE Arca
COP,ConocoPhillips,114.531,-1.37,8978562,New York Stock Exchange
CMG,Chipotle Mexican Grill Inc.,34.9,-0.34,8881234,New York Stock Exchange
GOOG,Alphabet Inc.,307.44,0.51,8825497,Nasdaq Global Select
JD,JD.com Inc.,27.925,1.25,8716761,Nasdaq Global Select
CVX,Chevron Corporation,186.93,-0.9,8673857,New York Stock Exchange
XBI,SPDR Series Trust S&P Biotech,127.22,0.42,8634275,NYSE Arca
SPIB,SPDR Portfolio Intermediate Term Corporate Bond,33.775,-0.16,8629261,NYSE Arca
USEG,U.S. Energy Corp.,1.0961,0.56,8508309,NASDAQ Capital Market
KGC,Kinross Gold Corporation,32.735,-0.83,8445958,New York Stock Exchange
UUUU,Energy Fuels Inc (Canada),20.29,0.2,8399770,NYSE American
BE,Bloom Energy Corporation Class A,154.87,2.7,8387435,New York Stock Exchange
VXUS,Vanguard Total International Stock ETF,79.07,-0.39,8351033,NASDAQ Global Market
B,Barnes Group Inc.,46.16,-1.18,8344792,New York Stock Exchange
ATAI,ATA Inc.,4.205,9.51,8334621,NASDAQ Global Market
LYB,LyondellBasell Industries NV Class A (Netherlands),65.865,0.22,8180957,New York Stock Exchange
PAAS,Pan American Silver Corp.,61.705,-0.54,8179787,Nasdaq Global Select
NGD,New Gold Inc.,11.57,1.05,8077209,NYSE American
MVIS,MicroVision Inc.,0.566,3.1,8065124,NASDAQ Global Market
BCS,Barclays PLC,22.55,0.13,8019536,New York Stock Exchange
AES,The AES Corporation,14.235,0.32,7994632,New York Stock Exchange
KMI,Kinder Morgan Inc.,33.115,-0.26,7950824,New York Stock Exchange
VCLT,Vanguard Long-Term Corporate Bond ETF,75.73,-0.36,7883802,NASDAQ Global Market
GLD,SPDR Gold Trust,477.69,-0.43,7846043,NYSE Arca
IEF,iShares 7-10 Year Treasury Bond ETF,96.535,-0.16,7794314,NASDAQ Global Market
XOP,SPDR S&P Oil & Gas Explor & Product,159.09,-0.85,7768656,NYSE Arca
ESPR,Esperion Therapeutics Inc.,2.715,-13.54,7707007,NASDAQ Global Market
TME,Tencent Music Entertainment Group American Depositary Shares each representing two Class A,13.94,-1.34,7657383,New York Stock Exchange
BSX,Boston Scientific Corporation,70.02,-1.92,7628060,New York Stock Exchange
SES,Synthesis Energy Systems Inc.,1.305,8.75,7601168,NASDAQ Capital Market
ARCC,Ares Capital Corporation,18.595,-0.56,7593885,Nasdaq Global Select
GOVT,iShares U.S. Treasury Bond,23.09,-0.17,7505621,Cboe Global Markets EDGX
ITOT,iShares Core S&P Total U.S. Stock Market,148.33,0.18,7468200,NYSE Arca
IAU,ishares Gold Trust,97.8728,-0.42,7458037,NYSE Arca
BIL,SPDR Bloomberg Barclays 1-3 Month T-Bill,91.455,-0.01,7389595,NYSE Arca
QCOM,QUALCOMM Incorporated,135.155,0.34,7384619,Nasdaq Global Select
CSX,CSX Corporation,41.045,1.35,7356014,Nasdaq Global Select
JNK,SPDR Bloomberg Barclays High Yield Bond,96.495,0.15,7335715,NYSE Arca
EMLC,VanEck Vectors J.P. Morgan EM Local Currency Bond,25.819,0.27,7306250,NYSE Arca
WU,Western Union Company (The),9.685,-0.46,7300243,New York Stock Exchange
BND,Vanguard Total Bond Market ETF,74.285,-0.14,7288041,NASDAQ Global Market
CIG,Comp En De Mn Cemig ADS American Depositary Shares,2.2987,1.71,7265984,New York Stock Exchange
CCC,Churchill Capital Corp Class A,5.915,-0.25,7235353,New York Stock Exchange
VT,Vanguard Total World Stock Index,143.16,-0.12,7230817,NYSE Arca
IJR,iShares Core S&P Small-Cap,125.235,0.22,7229934,NYSE Arca
LUV,Southwest Airlines Company,43.1,1.7,7214213,New York Stock Exchange
M,Macy's Inc,18.365,3.58,7209139,New York Stock Exchange
NXE,Nexgen Energy Ltd.,13.14,3.46,7173268,NYSE American
USB,U.S. Bancorp,52.14,0.0,7074428,New York Stock Exchange
KO,Coca-Cola Company (The),78.22,0.96,7007016,New York Stock Exchange
ASNS,Arsanis Inc.,0.378,13.41,6978029,NASDAQ Global Market
AGG,iShares Core U.S. Aggregate Bond,100.228,-0.13,6935486,NYSE Arca
SCHH,Schwab U.S. REIT,22.625,0.38,6934140,NYSE Arca
VLY,Valley National Bancorp,12.125,1.04,6903914,Nasdaq Global Select
TU,Telus Corporation,13.715,-1.12,6890804,New York Stock Exchange
